candidate_count,constant_high_utility_nll,converged,coverage_50,coverage_80,coverage_90,coverage_95,crps,dataset,finite,fit_evaluations,fit_iterations,fit_message,fit_seconds,high_utility_count,high_utility_nll,interval_calibration_error,model,n,nll,objective,one_step_regret,record_type,rmse,seed,selected_test_index,selected_top_decile,spearman,top10_recall
111691,1.2910225901066001,True,0.1386750223813787,0.3956132497761862,0.5176365264100269,0.5819158460161146,0.07145891131797542,trpb,True,39,35,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.29154556599996795,11170,3.55309497593911,0.37903983885407344,S2,192,-0.34442673180965977,1.4270634982765256,1.036687777260993,offline,0.16295442667229004,2,86930,True,0.36393343117638427,0.42121756076812744
111835,5.174196146767412,True,0.2772711015736767,0.5978183118741058,0.7753040057224606,0.8132153075822603,0.04453789870755879,trpb,True,13,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.7465404629997465,11184,5.993788019824628,0.17159781831187415,S0,48,2.8657372867728492,1.4015891599662018,1.0683557033735116,offline,0.14624505333970436,3,4842,False,0.3417699379179406,0.2436516433954239
111835,9.582397493100439,True,0.33369098712446355,0.7153969957081545,0.766541487839771,0.7841559370529327,0.04465820118047242,trpb,True,12,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.07263841699978002,11184,9.791670040505068,0.13755364806866954,S1,48,2.3553888936394034,1.4391594442223763,1.103436841486768,offline,0.1456932641043668,3,51402,False,0.42110414781512673,0.2857653796672821
111835,15.467023554855796,True,0.29104077253218885,0.5898605150214592,0.7264842632331903,0.7640379113018598,0.044323903099326024,trpb,True,28,25,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.21505089500033137,11184,16.002604807496752,0.19464413447782547,S2,48,2.2457719712461492,1.640195875602311,1.1020680206216287,offline,0.14436412200016055,3,28287,False,0.3842525596616262,0.31393060088157654
111787,0.9170651940559956,True,0.7646480007156276,0.8438142946596296,0.8652831201359692,0.8789694963771357,0.06123875973338083,trpb,True,19,16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.10890400600010253,11179,0.823533501645474,0.10355241971553805,S0,96,-0.5071309990964344,1.440527839455503,0.9915347462903349,offline,0.14518496248899368,3,18773,True,0.3613799469425758,0.34153324365615845
111787,1.1764112246903329,True,0.736738527596386,0.8393416226853923,0.8592002862510063,0.8716343143393863,0.060920634728108235,trpb,True,13,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.061720881999917765,11179,1.0393545401033264,0.0988113874228464,S1,96,-0.5136260937373434,1.4435074500929617,1.8099072394063362,offline,0.1433769789878761,3,94627,False,0.27049646722732207,0.3344663977622986
111787,1.5183324588642175,True,0.44172108417568656,0.8119688702030593,0.8448877359334467,0.861078808480186,0.05971063901625217,trpb,True,24,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.18244628000002194,11179,1.1688015172058879,0.05357031040343499,S2,96,-0.5399714825851483,1.5458966082650971,1.0740165125027252,offline,0.13724233868981411,3,15704,True,0.31315457509816597,0.38214510679244995
111691,2.1099996229763005,True,0.6341092211280215,0.795076096687556,0.8204118173679499,0.8348254252461952,0.057036083194162736,trpb,True,21,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.11571063299970774,11170,1.841949123035467,0.08344897045658012,S0,192,-0.5364750939657621,1.4234537467089077,0.9097332274993419,offline,0.1412940368249952,3,25784,True,0.4274083201256226,0.3859444856643677
111691,2.6223929443687033,True,0.5125335720680394,0.7860340196956133,0.8067144136078782,0.8214861235452103,0.05631727567980535,trpb,True,13,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.06533211900023161,11170,2.2948694307263025,0.062074753804834404,S1,192,-0.5480671751964177,1.4220360011952773,2.058823064918789,offline,0.1387442474770661,3,88119,False,0.30854637716939787,0.40528199076652527
111691,3.0142721644983137,True,0.39042076991942704,0.7338406445837063,0.7820053715308863,0.8031333930170098,0.05423775790488145,trpb,True,34,30,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.25818891400012944,11170,2.318699890673727,0.11014995523724262,S2,192,-0.5980525887777103,1.4639632448595938,1.1752230096350194,offline,0.13014900312318278,3,76260,True,0.3601691685827498,0.46982988715171814
