seed,method,phase,initial_order,query_index,action_position,action_key,node_index,gw_band_gap_ev,standardized_observation,best_observed_gw_ev,simple_regret_ev
3,FULL_PBE,sequential,,6,46,current-nlr-pbe-gw-v1:gw:matdb:000289999,513,6.904,0.5653071059850117,10.349,0.0
3,FULL_PBE,sequential,,7,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,1555,5.996,0.3010265796704845,10.349,0.0
3,FULL_PBE,sequential,,8,118,current-nlr-pbe-gw-v1:gw:matdb:000289858,1249,6.142,0.34352102553163094,10.349,0.0
3,FULL_PBE,sequential,,9,182,current-nlr-pbe-gw-v1:gw:matdb:000290238,2055,6.496,0.44655550385249293,10.349,0.0
3,FULL_PBE,sequential,,10,119,current-nlr-pbe-gw-v1:gw:matdb:000289924,1254,6.706,0.5076776520089364,10.349,0.0
3,FULL_PBE,sequential,,11,128,current-nlr-pbe-gw-v1:gw:matdb:000289881,1505,5.675,0.2075970103456349,10.349,0.0
3,FULL_PBE,sequential,,12,10,current-nlr-pbe-gw-v1:gw:matdb:000009582,131,8.896,1.1450943399261335,10.349,0.0
4,NO_PBE,initial,1,0,133,current-nlr-pbe-gw-v1:gw:matdb:000286998,1553,6.17,0.5644391562726179,,
4,NO_PBE,initial,2,0,189,current-nlr-pbe-gw-v1:gw:matdb:000290236,2112,5.064,0.13904242248214732,,
4,NO_PBE,initial,3,0,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,2.171792637746738,,
4,NO_PBE,initial,4,0,163,current-nlr-pbe-gw-v1:gw:matdb:000010337,1932,3.368,-0.5132838528421187,,
4,NO_PBE,initial,5,0,184,current-nlr-pbe-gw-v1:gw:matdb:000010790,2063,3.15,-0.5971323953071482,,
4,NO_PBE,initial,6,0,174,current-nlr-pbe-gw-v1:gw:matdb:000287088,2019,2.694,-0.7725220070688613,,
4,NO_PBE,initial,7,0,176,current-nlr-pbe-gw-v1:gw:matdb:000287053,2037,4.306,-0.15250434443754235,,
4,NO_PBE,initial,8,0,95,current-nlr-pbe-gw-v1:gw:matdb:000009772,889,2.519,-0.8398316168458344,,
4,FULL_PBE,initial,1,0,133,current-nlr-pbe-gw-v1:gw:matdb:000286998,1553,6.17,0.5644391562726179,,
4,FULL_PBE,initial,2,0,189,current-nlr-pbe-gw-v1:gw:matdb:000290236,2112,5.064,0.13904242248214732,,
4,FULL_PBE,initial,3,0,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,2.171792637746738,,
