added_observations,cache_chol_max_abs_error,cache_mean_max_abs_error,cache_variance_max_abs_error,conditional_ess_fraction,count,ess,ess_fraction,full_factorization_seconds,full_factorizations,incremental_log_likelihood_variance,likelihood_seconds,likelihood_updates,marginal_increment_max_abs_error,negative_log_ess_fraction,prediction_seconds,rank_one_appends,rank_one_seconds,seed,sequential_update_seconds,validation_factorizations,validation_seconds
2,1.1518563880485999e-14,6.750155989720952e-14,1.7763568394002505e-14,0.8578091167854149,18,138.20563661222803,0.5398657680165158,0.0025917099999333004,256,0.31878934324475033,0.0018562049999673036,512,4.973799150320701e-14,0.6164347480715792,0.004622811999979604,512,0.0025549439999394963,2,0.002695994000077917,1536,0.006063550000021678
3,3.708144902248023e-14,4.618527782440651e-14,1.7763568394002505e-14,0.7934514827758364,19,69.64635259184816,0.27205606481190686,0.0025917099999333004,256,0.2843249924946582,0.002728724999883525,768,2.0650148258027912e-14,1.3017471132940681,0.006721156000025985,768,0.003650229999948351,2,0.0023873439999988477,2304,0.004866786999969008
4,3.708144902248023e-14,9.237055564881302e-14,1.4210854715202004e-14,0.9193913527921365,20,45.134395458558956,0.17630623225999592,0.0025917099999333004,256,0.1612649459719873,0.0036207599998760998,1024,1.5987211554602254e-13,1.735532839891175,0.008816665000040302,1024,0.004792976999965504,2,0.0025155749999612453,3072,0.004919998000104897
5,3.708144902248023e-14,8.526512829121202e-14,1.4210854715202004e-14,0.8933867188416507,21,28.270348139375642,0.1104310474194361,0.0025917099999333004,256,0.26935339652704987,0.004580895999879431,1280,3.3217872896784684e-13,2.2033639580506104,0.011047686999972939,1280,0.006030932999919969,2,0.00268211100001281,3840,0.005297970000015084
6,5.2007009809784677e-14,1.4210854715202004e-13,1.4210854715202004e-14,0.9226926247053227,22,27.47349833898594,0.10731835288666383,0.0025917099999333004,256,0.10255885842934108,0.005417348999912974,1536,8.548717289613705e-14,2.231955601225459,0.01324974299996029,1536,0.007207412999946428,2,0.0025272980000181633,4608,0.00543515499998648
7,5.2007009809784677e-14,1.1723955140041653e-13,1.7763568394002505e-14,0.9286391815473473,23,20.30259815138703,0.07930702402885559,0.0025917099999333004,256,0.08934214862364631,0.00630343799991806,1792,2.886579864025407e-14,2.5344285788684986,0.015616057999864097,1792,0.008446095999943282,2,0.002600959000005787,5376,0.005792393999968226
8,5.2007009809784677e-14,1.0658141036401503e-13,7.105427357601002e-15,0.9104296194600572,24,13.058266837412104,0.05100885483364103,0.0025917099999333004,256,0.10736771265226691,0.007221501999993052,2048,1.7053025658242404e-13,2.9757560371397065,0.017930327999920337,2048,0.00966808599991964,2,0.0025810089999822594,6144,0.0057525649999661255
9,5.2007009809784677e-14,1.3677947663381929e-13,1.0658141036401503e-14,0.9309408547371295,25,8.830010440950986,0.03449222828496479,0.0025917099999333004,256,0.08614363067124436,0.00824331399996936,2304,1.545430450278218e-13,3.3670212474237378,0.02050199299981159,2304,0.011009729999955198,2,0.0028884160000188785,6912,0.006448928000054366
10,5.2007009809784677e-14,1.7053025658242404e-13,1.0658141036401503e-14,0.9815083567765288,26,7.353620869774121,0.028725081522555162,0.0025917099999333004,256,0.026151134369727623,0.009207509999896502,2560,6.755707104844078e-14,3.5499846172163525,0.023002306999728717,2560,0.012373734999982844,2,0.002797134000047663,7680,0.006607608999956938
11,5.2007009809784677e-14,1.0658141036401503e-13,1.7763568394002505e-14,0.9441095116714756,27,5.91207597602276,0.023094046781338907,0.0025917099999333004,256,0.07479708588321024,0.010174031999895305,2816,2.55351295663786e-13,3.7681804097621843,0.025694340999734777,2816,0.013697365999973954,2,0.002739959999985331,8448,0.006923159000052692
12,5.2007009809784677e-14,1.7053025658242404e-13,1.7763568394002505e-14,0.9668521088663876,28,4.8518127436534835,0.01895239352989642,0.0025917099999333004,256,0.04259185690395383,0.011152970999887657,3072,1.0613732115416497e-13,3.965825047783592,0.0285697659996913,3072,0.01503757399996175,2,0.002850467999905959,9216,0.007907924000051025
13,5.2007009809784677e-14,3.410605131648481e-13,2.4868995751603507e-14,0.9559529963547247,29,3.48820831199437,0.013625813718728008,0.0025917099999333004,256,0.05323038169318656,0.012182256999949459,3328,6.039613253960852e-13,4.295789217740695,0.03140099999961876,3328,0.016495443999929194,2,0.0029540409999526673,9984,0.0079104940000434
14,7.867317908250016e-14,2.2737367544323206e-13,2.842170943040401e-14,0.9342269468478418,30,3.576435042441596,0.013970449384537485,0.0025917099999333004,256,0.08144662906880121,0.013268674999949326,3584,1.0160761121369433e-12,4.270810938404049,0.03437904199972763,3584,0.017984807999937402,2,0.003057576999935918,10752,0.008301254999992125
15,7.867317908250016e-14,2.8421709430404007e-13,2.1316282072803006e-14,0.9497438326591997,31,3.7411296522615793,0.014613787704146794,0.0025917099999333004,256,0.06154572304395134,0.014372515999980351,3840,5.321298957028375e-13,4.225789832600603,0.03755710399968848,3840,0.019483646999901794,2,0.0031081980000635667,11520,0.008943376999923203
16,7.867317908250016e-14,4.973799150320701e-13,2.842170943040401e-14,0.9850914200572282,32,3.174061300880073,0.012398676956562785,0.0025917099999333004,256,0.018420963735914328,0.015467286999978569,4096,1.9828583219805296e-13,4.39016550911507,0.04069105899964143,4096,0.02105779999999413,2,0.0031765820000373424,12288,0.009093420999988666
17,7.867317908250016e-14,5.115907697472721e-13,2.842170943040401e-14,0.9587385472011228,33,2.5243759698228154,0.009860843632120373,0.0025917099999333004,256,0.0693187721861194,0.016655660999958855,4352,1.9062529332813938e-12,4.619183552960758,0.043859407999661926,4352,0.02283726000007391,2,0.0035901129999729164,13056,0.009045021000019915
18,7.867317908250016e-14,4.547473508864641e-13,3.552713678800501e-14,0.9682491662200731,34,2.39013377380529,0.009336460053926915,0.0025917099999333004,256,0.05180254306124542,0.017900035999900865,4608,1.156408302449563e-12,4.673828107799065,0.04723062799973832,4608,0.024597831000050974,2,0.0037684949999174933,13824,0.00989215399999921
19,7.867317908250016e-14,5.471179065352771e-13,2.842170943040401e-14,0.9854564747809961,35,2.189915498311816,0.00855435741528053,0.0025917099999333004,256,0.01654736296000786,0.01909795899985056,4864,7.162048731856885e-13,4.761314486641329,0.05064673399976982,4864,0.026356024000051548,2,0.003476223999996364,14592,0.010362718999999743
20,7.867317908250016e-14,1.1297629498585593e-12,1.7763568394002505e-14,0.9766783844506064,36,1.944683534466989,0.007596420056511676,0.0025917099999333004,256,0.03097211951356333,0.020295600999816088,5120,5.397904345727511e-13,4.880078187862323,0.0539103419997673,5120,0.028061344000093413,2,0.0034598859999732667,15360,0.01005648700004258
21,7.867317908250016e-14,1.0942358130705543e-12,2.4868995751603507e-14,0.9648095101517156,37,1.6804797594405292,0.006564374060314567,0.0025917099999333004,256,0.06339811361463173,0.021537355999839747,5376,3.9668268669856843e-13,5.026098120736506,0.058107576999873345,5376,0.02984699800015278,2,0.0035115649999397647,16128,0.012724759999969137
22,7.867317908250016e-14,4.547473508864641e-13,2.1316282072803006e-14,0.9580755093884981,38,1.831668550674503,0.007154955276072277,0.0025917099999333004,256,0.03329861335418893,0.022843151999836664,5632,9.582334925539726e-13,4.9399501167169095,0.062299633999828075,5632,0.031730731000152446,2,0.003681205000020782,16896,0.01289437499997348
23,7.867317908250016e-14,3.694822225952521e-13,2.4868995751603507e-14,0.9827142914216748,39,1.6029259393207387,0.0062614294504716355,0.0025917099999333004,256,0.022724927123706787,0.02417875599985564,5888,1.3553602684623911e-12,5.073346773216565,0.06658893299970714,5888,0.033617366000157745,2,0.0037052000000130647,17664,0.01743497900008606
24,7.867317908250016e-14,8.313350008393172e-13,2.1316282072803006e-14,0.994074009248569,40,1.5716504517969585,0.006139259577331869,0.0025917099999333004,256,0.007121312656020223,0.025596827999834204,6144,3.681499549657019e-13,5.0930511341057425,0.07209947199964972,6144,0.036240053000142325,2,0.004669814999942901,18432,0.02333733000000393
