autodiff_envelope_max_abs,beta,conditional_ess_from_beta0,count,entropy_effective_fraction,ess_fraction,finite_difference_max_abs,largest_shift_coordinates,largest_standardized_mean_shifts,mass_count_50,mass_count_90,mass_count_99,maximum_weight,point,seed,torch_gradient_max_abs,torch_value_abs
4.718447854656915e-16,0.25,0.9716475509436625,16,0.9852965374945842,0.9716475509436625,9.147175239476724e-10,"[11, 1, 0, 10, 8]","[0.11178855141778021, 0.09536544552038832, 0.07101924364314412, 0.0404386014802898, 0.03162542101153634]",111,221,252,0.005566422355663024,teacher,2,4.884981308350689e-15,0.0
1.609823385706477e-15,0.5,0.9003571186419596,16,0.9457193831300478,0.9003571186419596,5.080207029790201e-10,"[11, 1, 0, 10, 8]","[0.21540269142099144, 0.18525858149686766, 0.13954104358707203, 0.07982925264644543, 0.06461601813770744]",95,210,250,0.007707278225321658,teacher,2,4.773959005888173e-15,1.7763568394002505e-15
1.349614864309956e-15,0.75,0.8066770074102901,16,0.888663778005019,0.8066770074102901,5.108848171440396e-10,"[11, 1, 0, 10, 8]","[0.3105753374808621, 0.2695888771226423, 0.20458093388244347, 0.11741577817900704, 0.09720206524526095]",80,198,246,0.010395412351875825,teacher,2,4.052314039881821e-15,0.0
1.7867651802561113e-15,1.0,0.7068923190394097,16,0.8212262300336747,0.7068923190394097,5.503413731677842e-10,"[11, 1, 0, 10, 8]","[0.39733991483594683, 0.3483619443327314, 0.26548464818599415, 0.1526630196045642, 0.12808800379916035]",68,185,242,0.013691683197181451,teacher,2,1.4988010832439613e-15,0.0
3.1086244689504383e-15,0.0,0.9999999999999998,16,1.0000000000000007,0.9999999999999998,4.313016388479696e-09,"[11, 4, 8, 6, 2]","[2.1872835035231574e-15, 8.270112894456128e-16, 5.788470213500666e-16, 5.1898402622702055e-16, 4.472335601741785e-16]",128,231,254,0.003906250000000001,midpoint,2,3.1530333899354446e-14,1.7763568394002505e-15
4.3298697960381105e-15,0.25,0.9589377810949544,16,0.9781803860328464,0.9589377810949544,6.6986001190372235e-09,"[8, 2, 6, 5, 7]","[0.11317654550864947, 0.09432867793942903, 0.08949298687311436, 0.08830169881087413, 0.08282131918957211]",108,219,251,0.005855985786873808,midpoint,2,1.6431300764452317e-14,3.552713678800501e-15
6.661338147750939e-15,0.5,0.8639286388104636,16,0.9232976437295455,0.8639286388104636,7.0083322478708965e-09,"[8, 2, 6, 5, 0]","[0.20963099761796206, 0.17056983293735775, 0.16554550762249542, 0.16300223595760607, 0.16232064195987417]",89,205,247,0.008418416777974148,midpoint,2,6.661338147750939e-15,1.7763568394002505e-15
4.274358644806853e-15,0.75,0.7470173047549327,16,0.8486096525610366,0.7470173047549327,6.594234686074785e-09,"[8, 0, 2, 6, 5]","[0.29436660713499224, 0.2527793276211303, 0.23438760953948315, 0.23176087958739605, 0.22924847927806616]",74,189,242,0.011671348433651092,midpoint,2,3.552713678800501e-15,1.1102230246251565e-15
3.608224830031759e-15,1.0,0.628834047224624,16,0.7643984593498204,0.628834047224624,5.854570550578586e-09,"[8, 0, 5, 6, 2]","[0.3706964946924044, 0.34565701996649484, 0.2903420948791148, 0.29018828380623435, 0.28904062308864403]",61,173,236,0.01567395812253933,midpoint,2,4.9960036108132044e-15,8.881784197001252e-16
7.176481631177012e-13,0.0,0.9999999999999998,40,1.0000000000000007,0.9999999999999998,6.337437632453202e-07,"[2, 5, 1, 8, 3]","[6.2228188275886074e-15, 3.0669281862972473e-15, 2.4304087065071186e-15, 2.24772083243559e-15, 2.037859102769169e-15]",128,231,254,0.003906250000000001,map,2,9.592326932761353e-12,5.204725539442734e-13
2.0961010704922955e-13,0.25,0.9989308121186126,40,0.9994651227872294,0.9989308121186128,6.289798619718567e-07,"[4, 3, 7, 8, 0]","[0.0156724877814341, 0.015451128560948409, 0.011694486910966787, 0.009916309936360408, 0.009317004605806102]",125,229,254,0.004289699381493994,map,2,1.1254996934439987e-11,5.186961971048731e-13
3.907985046680551e-13,0.5,0.9957330465535552,40,0.9978633045442384,0.9957330465535552,6.239541683328298e-07,"[4, 3, 7, 8, 0]","[0.03147599779665972, 0.031054724807712184, 0.023633229304609243, 0.019989330436972107, 0.01854973451875238]",122,228,253,0.004705752601745675,map,2,9.237055564881302e-12,5.169198402654729e-13
2.2737367544323206e-13,0.75,0.9904301596723603,40,0.995201009019271,0.9904301596723603,6.187231882393007e-07,"[4, 3, 7, 8, 0]","[0.04740657969043311, 0.04680979219829323, 0.03582387555988519, 0.030223487730477564, 0.02768673184606066]",119,226,253,0.00515664303499427,map,2,9.492850949754938e-12,5.160316618457728e-13
