dimension,median_inverse_lengthscale,method,n,regime,seed
6,0.221242870965111,B0-NUTS,16,W,1
7,0.22428124282767717,B0-NUTS,16,W,1
8,0.23539661602469464,B0-NUTS,16,W,1
9,0.2136963871540949,B0-NUTS,16,W,1
10,0.35938179653410424,B0-NUTS,16,W,1
11,0.21341389311079828,B0-NUTS,16,W,1
12,0.18347891210629294,B0-NUTS,16,W,1
13,0.23328567531076672,B0-NUTS,16,W,1
14,0.1944126985861277,B0-NUTS,16,W,1
15,0.2461752364118626,B0-NUTS,16,W,1
16,0.21155609384273832,B0-NUTS,16,W,1
17,0.22311640497906332,B0-NUTS,16,W,1
18,0.23701641422387357,B0-NUTS,16,W,1
19,0.20417311270644908,B0-NUTS,16,W,1
0,2.132271077831033,B1,32,W,1
1,0.6934445373711581,B1,32,W,1
2,9.999999999999991e-05,B1,32,W,1
3,0.00017671585996589331,B1,32,W,1
4,9.999999999999991e-05,B1,32,W,1
5,0.2810895857860724,B1,32,W,1
6,0.00038913204172788714,B1,32,W,1
7,9.999999999999991e-05,B1,32,W,1
8,1.005879257937029,B1,32,W,1
9,9.999999999999991e-05,B1,32,W,1
10,0.3104712666828633,B1,32,W,1
11,9.999999999999991e-05,B1,32,W,1
12,0.0018978428639019836,B1,32,W,1
13,1.2082326719023124,B1,32,W,1
14,0.4431221398821589,B1,32,W,1
15,9.999999999999991e-05,B1,32,W,1
16,9.999999999999991e-05,B1,32,W,1
17,0.0006714378530285701,B1,32,W,1
18,0.0001073252768282379,B1,32,W,1
19,0.0001615249882628059,B1,32,W,1
0,1.6151503612731113,B0-NUTS,32,W,1
1,0.22216881487819493,B0-NUTS,32,W,1
2,0.19934804153626504,B0-NUTS,32,W,1
3,0.21534428521859977,B0-NUTS,32,W,1
4,0.2730045637935974,B0-NUTS,32,W,1
5,0.22604990502407374,B0-NUTS,32,W,1
6,0.22496201767378846,B0-NUTS,32,W,1
7,0.20702148487326824,B0-NUTS,32,W,1
8,0.717893700670613,B0-NUTS,32,W,1
9,0.22102550212352887,B0-NUTS,32,W,1
10,0.26465694093974484,B0-NUTS,32,W,1
11,0.243713722804455,B0-NUTS,32,W,1
12,0.23104978103155657,B0-NUTS,32,W,1
13,0.3876867963947666,B0-NUTS,32,W,1
14,0.3386025809952598,B0-NUTS,32,W,1
15,0.22265426556162177,B0-NUTS,32,W,1
16,0.19376402819985386,B0-NUTS,32,W,1
17,0.26432923213113446,B0-NUTS,32,W,1
18,0.20735414424608617,B0-NUTS,32,W,1
19,0.22553720297355884,B0-NUTS,32,W,1
0,2.825139085035597,B1,64,W,1
1,3.330757421317388,B1,64,W,1
2,0.0003440658449382407,B1,64,W,1
3,9.999999999999991e-05,B1,64,W,1
4,9.999999999999991e-05,B1,64,W,1
5,0.00018529850798647832,B1,64,W,1
6,0.001369682492784015,B1,64,W,1
7,0.0004883215462146228,B1,64,W,1
8,0.00014997970699336675,B1,64,W,1
9,0.00014203312040255122,B1,64,W,1
10,0.00010671856387280311,B1,64,W,1
11,9.999999999999991e-05,B1,64,W,1
12,9.999999999999991e-05,B1,64,W,1
13,9.999999999999991e-05,B1,64,W,1
14,0.0016103252081648735,B1,64,W,1
15,0.0002039645768994266,B1,64,W,1
16,0.21487635048026998,B1,64,W,1
17,9.999999999999991e-05,B1,64,W,1
18,0.013412326670217382,B1,64,W,1
19,0.0001000748507596232,B1,64,W,1
0,5.890501577525946,B0-NUTS,64,W,1
1,3.6781164755523252,B0-NUTS,64,W,1
2,0.13974720544477606,B0-NUTS,64,W,1
3,0.11824785358484893,B0-NUTS,64,W,1
4,0.14027245581432776,B0-NUTS,64,W,1
5,0.12450759365831708,B0-NUTS,64,W,1
6,0.1379468333600406,B0-NUTS,64,W,1
7,0.1798418146932035,B0-NUTS,64,W,1
8,0.1713678044356995,B0-NUTS,64,W,1
9,0.12793894401930953,B0-NUTS,64,W,1
10,0.12493967947514856,B0-NUTS,64,W,1
11,0.12151539001295988,B0-NUTS,64,W,1
12,0.1292398839622792,B0-NUTS,64,W,1
13,0.1280046339797446,B0-NUTS,64,W,1
14,0.1943866054221609,B0-NUTS,64,W,1
15,0.14197726120479412,B0-NUTS,64,W,1
16,0.16560037375246622,B0-NUTS,64,W,1
17,0.132822157717716,B0-NUTS,64,W,1
18,0.1390226209241506,B0-NUTS,64,W,1
19,0.14132930300042096,B0-NUTS,64,W,1
0,0.0010226074998557944,B1,16,G,2
1,0.0005036595970286345,B1,16,G,2
2,0.00010064144025316848,B1,16,G,2
3,0.00013086412115276947,B1,16,G,2
4,9.999999999999991e-05,B1,16,G,2
5,0.0002306557714846376,B1,16,G,2
6,0.2648805082076632,B1,16,G,2
7,9.999999999999991e-05,B1,16,G,2
8,9.999999999999991e-05,B1,16,G,2
9,9.999999999999991e-05,B1,16,G,2
10,9.999999999999991e-05,B1,16,G,2
11,0.0002514105738435757,B1,16,G,2
12,9.999999999999991e-05,B1,16,G,2
13,0.39642455464650994,B1,16,G,2
14,9.999999999999991e-05,B1,16,G,2
15,0.33938142396085424,B1,16,G,2
16,9.999999999999991e-05,B1,16,G,2
17,9.999999999999991e-05,B1,16,G,2
18,9.999999999999991e-05,B1,16,G,2
19,0.00023867018721690625,B1,16,G,2
0,0.354514211371363,B0-NUTS,16,G,2
1,0.370953559478746,B0-NUTS,16,G,2
2,0.2811571127011319,B0-NUTS,16,G,2
3,0.3007722577952081,B0-NUTS,16,G,2
4,0.27340332950761603,B0-NUTS,16,G,2
5,0.33454238144152615,B0-NUTS,16,G,2
6,0.37342741422038883,B0-NUTS,16,G,2
7,0.31207613101212955,B0-NUTS,16,G,2
8,0.2562384976456044,B0-NUTS,16,G,2
9,0.25664468185005496,B0-NUTS,16,G,2
10,0.26738005524477537,B0-NUTS,16,G,2
11,0.28469055117658304,B0-NUTS,16,G,2
12,0.2646143106317184,B0-NUTS,16,G,2
13,0.3708848741413131,B0-NUTS,16,G,2
14,0.263500936377533,B0-NUTS,16,G,2
15,0.3367766133580456,B0-NUTS,16,G,2
16,0.2597243396105645,B0-NUTS,16,G,2
17,0.3113517565593789,B0-NUTS,16,G,2
18,0.26889387259046266,B0-NUTS,16,G,2
19,0.33151749423401494,B0-NUTS,16,G,2
0,1.3833669834479771,B1,32,G,2
1,0.7213288132887805,B1,32,G,2
2,9.999999999999991e-05,B1,32,G,2
3,0.00013550874098523983,B1,32,G,2
4,9.999999999999991e-05,B1,32,G,2
5,9.999999999999991e-05,B1,32,G,2
6,9.999999999999991e-05,B1,32,G,2
7,0.00027487169998584543,B1,32,G,2
8,9.999999999999991e-05,B1,32,G,2
9,0.02394246483553539,B1,32,G,2
10,0.00010660688753689137,B1,32,G,2
11,9.999999999999991e-05,B1,32,G,2
12,9.999999999999991e-05,B1,32,G,2
13,9.999999999999991e-05,B1,32,G,2
14,0.001660371859484134,B1,32,G,2
15,9.999999999999991e-05,B1,32,G,2
16,9.999999999999991e-05,B1,32,G,2
17,9.999999999999991e-05,B1,32,G,2
18,0.5876538982832569,B1,32,G,2
19,0.0001460509488534194,B1,32,G,2
0,1.1733598564070635,B0-NUTS,32,G,2
1,0.6813610603620466,B0-NUTS,32,G,2
2,0.32343691953024345,B0-NUTS,32,G,2
3,0.4001390138908902,B0-NUTS,32,G,2
4,0.3325154924805489,B0-NUTS,32,G,2
5,0.328536123906311,B0-NUTS,32,G,2
6,0.36789730746285565,B0-NUTS,32,G,2
7,0.3724818373331046,B0-NUTS,32,G,2
8,0.3481441466659365,B0-NUTS,32,G,2
9,0.34027819122079994,B0-NUTS,32,G,2
10,0.3099514102020249,B0-NUTS,32,G,2
11,0.3411712554750653,B0-NUTS,32,G,2
12,0.34768753767374827,B0-NUTS,32,G,2
13,0.3275993198171637,B0-NUTS,32,G,2
14,0.33809048607926623,B0-NUTS,32,G,2
15,0.3688771442843487,B0-NUTS,32,G,2
16,0.3521919236552662,B0-NUTS,32,G,2
17,0.3156312313365082,B0-NUTS,32,G,2
18,0.3752855205829241,B0-NUTS,32,G,2
19,0.4491595613267942,B0-NUTS,32,G,2
0,4.922563081130436,B1,64,G,2
1,5.044221583086156,B1,64,G,2
2,9.999999999999991e-05,B1,64,G,2
3,0.0009203312724065795,B1,64,G,2
4,0.23172361192344196,B1,64,G,2
5,0.0001653667024073668,B1,64,G,2
6,0.00013513450918392194,B1,64,G,2
7,0.0007974128829174014,B1,64,G,2
8,0.0002316493149515564,B1,64,G,2
9,0.00032422749281928767,B1,64,G,2
10,0.00012833902504078067,B1,64,G,2
11,0.0005327760804689127,B1,64,G,2
12,0.00011264461030204649,B1,64,G,2
13,0.0003153472162889042,B1,64,G,2
14,0.00018144132492103372,B1,64,G,2
15,9.999999999999991e-05,B1,64,G,2
16,0.001637675979856188,B1,64,G,2
17,9.999999999999991e-05,B1,64,G,2
18,0.0001008739748777674,B1,64,G,2
19,0.00013051262617623174,B1,64,G,2
0,4.961321828453955,B0-NUTS,64,G,2
1,5.1405620200588045,B0-NUTS,64,G,2
2,0.12769194448973126,B0-NUTS,64,G,2
3,0.13525290069259557,B0-NUTS,64,G,2
4,0.15424704854479251,B0-NUTS,64,G,2
5,0.12499595438976692,B0-NUTS,64,G,2
6,0.1210602370870808,B0-NUTS,64,G,2
7,0.1293444839767185,B0-NUTS,64,G,2
8,0.12117077461937792,B0-NUTS,64,G,2
9,0.12276711633439037,B0-NUTS,64,G,2
10,0.11407560634078397,B0-NUTS,64,G,2
11,0.13383147571329254,B0-NUTS,64,G,2
12,0.12609738566110498,B0-NUTS,64,G,2
13,0.1330451162845738,B0-NUTS,64,G,2
14,0.12648746631334176,B0-NUTS,64,G,2
15,0.11557715017382633,B0-NUTS,64,G,2
16,0.1274409140987593,B0-NUTS,64,G,2
17,0.12151607019100726,B0-NUTS,64,G,2
18,0.12089143901839665,B0-NUTS,64,G,2
19,0.14342533884182404,B0-NUTS,64,G,2
0,0.0022048123870355672,B1,16,W,2
1,1.094800274466481,B1,16,W,2
