absolute_decision_regret,active_top2_recall,average_correction_kl,chosen_index,coefficient_norm,ei_seconds,ei_spearman,expected_true_nll,max_ei_abs_error,mean_rmse,method,n,normalization_seconds,normalized_regret,pi_max_abs_error,pit_mean_error,pit_variance_error,prediction_seconds,quantile_10_error,quantile_50_error,quantile_90_error,regime,seed,top5_overlap,true_ei_at_selection,true_ei_optimum,true_to_model_kl,variance_rmse
0.000948037186269679,1.0,,1103,,0.0004973039999640605,0.8532883922788616,-0.5398843600251901,0.040916681684806666,0.04167523193673974,B1,64,0.0006603469998935907,0.027494669925448214,0.12249099859645973,0.0008062247868323991,0.017672283873051517,0.006379392999861011,0.03840183832147447,0.0007936691545739061,0.03952414288034678,G,0,0.9320388349514563,0.033532725406635835,0.034480762592905514,0.14246503077467565,0.017804214927277393
0.000948037186269679,,,1103,,0.004196544000024005,0.6845008371961161,-0.40979109750747644,0.059946354030832566,0.047869215542154515,B2-G,64,1.3080000371701317e-06,0.027494669925448214,0.1449302627124267,0.028996848518967,0.03797699327461147,0.011124343999881603,0.08251964991955746,0.03897222413410251,0.06891626039529608,G,0,0.9320388349514563,0.033532725406635835,0.034480762592905514,0.27255829329238934,0.051779440349615076
0.0,,,15,,0.0039656339999964985,0.6848504844953226,-0.5517248231073226,0.03799975297774941,0.05042733918551979,B2-C,64,8.690001322975149e-07,0.0,0.13649105837877046,0.021226571784951687,0.010547890942291235,0.010466476999908991,0.01031404348217213,0.02217663949676174,0.03195519608833408,G,0,0.9223300970873787,0.034480762592905514,0.034480762592905514,0.13062456769254316,0.02654122685922713
0.000948037186269679,,,1103,,0.003738294999948266,0.6845013626729017,-0.40886595136527554,0.0589002424364017,0.04914672133176363,B3,64,1.1820000054285629e-06,0.027494669925448214,0.14164294192032512,0.0323262746363816,0.03803008115540686,0.02103778799983047,0.08335995679077579,0.045819917525921294,0.06836783487097609,G,0,0.9320388349514563,0.033532725406635835,0.034480762592905514,0.27348343943459025,0.05178752065275383
0.000948037186269679,,,1103,,0.003959306000069773,0.6844966793831653,-0.44541882105846514,0.056229475547605115,0.04746509179611045,B4,64,1.3950000266049756e-06,0.027494669925448214,0.12308577765919582,0.033663838182004246,0.032518893122382944,0.010588310999992245,0.07540673431631605,0.04804025468643447,0.06535687830111658,G,0,0.9320388349514563,0.033532725406635835,0.034480762592905514,0.23693056974140064,0.047830428742982725
0.000948037186269679,,0.020369992212683874,1103,0.42291576034444056,0.007733014999985244,0.6844697367552447,-0.48606975512016676,0.042605699013084364,0.048777919999480564,E0,64,0.000605439000082697,0.027494669925448214,0.10909804442851445,0.041301570105498175,0.027651073879965918,0.028480003999902692,0.06591849481705576,0.06823900447184672,0.04911399206128342,G,0,0.9320388349514563,0.033532725406635835,0.034480762592905514,0.19627963567969903,0.026948111106683596
0.0,,0.021675043311749312,15,0.6335723047522737,0.00862655200012341,0.6844833991516726,-0.48774295923631217,0.03746569903715559,0.055556128083471455,E1,64,0.0008018060000267724,0.0,0.11534111186752011,0.036724041813189,0.02768506150223328,0.031137205000050017,0.06495933308334187,0.053191422454274884,0.03697390964714886,G,0,0.9320388349514563,0.034480762592905514,0.034480762592905514,0.19460643156355362,0.025556196120193428
0.00572620226851895,1.0,,1935,,0.004169195000031323,0.5690466129537661,0.02677883450317199,0.05447476204771734,0.18191204514523956,B0-NUTS,64,,0.16606947868656266,0.13759197326357286,0.013305970670873357,0.038767400529298904,3.7980588640000406,0.07208526174326155,0.02139466476266294,0.08329002170735067,G,0,0.7766990291262136,0.028754560324386565,0.034480762592905514,0.7091282253030377,0.12343660772354315
0.8685646255626637,0.0,,30,,0.0005923200001234363,-0.017609168381304677,3.279189347830553,0.8909544227198405,1.321052485860082,B1,16,0.0008406179999838059,0.9656817260386248,0.6331750755457127,0.009897884178626803,0.06600138759963843,0.00837225700001909,0.17315392054966014,0.01155707060997102,0.15544083881597304,W,0,0.08737864077669903,0.030866938836560897,0.8994315643992246,2.572439244125374,0.6138485860762641
0.8685646255626637,,,30,,0.006079458000158411,-0.0213259220502256,2.1400650158458383,1.1999278747797049,1.290851991410753,B2-G,16,1.4320000900625018e-06,0.9656817260386248,0.6258727737621753,0.013427976063226321,0.020688771434210676,0.016766747000019677,0.06415075919259669,0.04016953157494707,0.033717179547151144,W,0,0.10679611650485436,0.030866938836560897,0.8994315643992246,1.4333149121406592,3.9114967475781266
