phase,source_role,source_seed,schedule_id,grid_size,checkpoint,action_index,autocorrelation_ess,challenger_index,mcse,mean,observable,observable_type,required_for_strict_gate,split_rhat,standard_deviation,pooled_top_ten_member,absolute_estimate_over_mcse
CALIBRATION,calibration,2026082401,S1,40,middle,939,5747.838315815999,698.0,0.002263891987851561,0.03490304208524474,gap_939_vs_698,LEADER_CHALLENGER_GAP,False,1.0009968394664315,0.17163583770302832,True,15.417273559224796
CALIBRATION,calibration,2026082401,S1,40,middle,701,6278.588078505019,,0.0010999657462281154,0.024582937977818003,utility_action_701,TOP_ACTION_UTILITY,False,1.0021043728999437,0.08715858212847151,False,22.34882137204288
CALIBRATION,calibration,2026082401,S1,40,middle,939,5678.577902571769,701.0,0.0022477766584654045,0.036055380315193813,gap_939_vs_701,LEADER_CHALLENGER_GAP,False,1.0009147185702338,0.16938422099150513,True,16.040463886572002
CALIBRATION,calibration,2026082401,S1,40,middle,739,5596.592506213024,,0.0018028971291964692,0.053136269779153145,utility_action_739,TOP_ACTION_UTILITY,True,1.001398456082371,0.134875413919343,True,29.47271306756996
CALIBRATION,calibration,2026082401,S1,40,middle,939,5192.562805382049,739.0,0.0027630518904825456,0.007502048513858667,gap_939_vs_739,LEADER_CHALLENGER_GAP,True,1.0011533290702104,0.19910397023712137,True,2.7151312429925056
CALIBRATION,calibration,2026082401,S1,40,middle,740,5196.800293450491,,0.001998146776602538,0.06005190437417721,utility_action_740,TOP_ACTION_UTILITY,True,1.0016569954901176,0.14404407552656212,True,30.05380039012142
CALIBRATION,calibration,2026082401,S1,40,middle,939,5620.340655127666,740.0,0.0027398817148116374,0.000586413918834597,gap_939_vs_740,LEADER_CHALLENGER_GAP,True,1.001429923591478,0.20540600395397912,True,0.21402891798740006
CALIBRATION,calibration,2026082401,S1,40,middle,859,5515.659702765123,,0.0019034844645636712,0.05885785585416642,utility_action_859,TOP_ACTION_UTILITY,True,1.0021398708676375,0.14136700871946645,True,30.921111755781098
CALIBRATION,calibration,2026082401,S1,40,middle,939,5317.005586196942,859.0,0.0027892002762350534,0.0017804624388453997,gap_939_vs_859,LEADER_CHALLENGER_GAP,True,1.0019176247643793,0.20338234846392292,True,0.6383415540345212
CALIBRATION,calibration,2026082401,S1,40,middle,860,5826.57382918452,,0.0018314645914328884,0.05794581605050202,utility_action_860,TOP_ACTION_UTILITY,True,1.0014511265464636,0.1397993504567713,True,31.639058883014922
CALIBRATION,calibration,2026082401,S1,40,middle,939,5353.856277775478,860.0,0.002753554816119039,0.0026925022425097877,gap_939_vs_860,LEADER_CHALLENGER_GAP,True,1.001320591324919,0.20147774471668334,True,0.9778277253636443
CALIBRATION,calibration,2026082401,S1,40,middle,898,6392.358129170118,,0.0011646515525704964,0.026006245060562483,utility_action_898,TOP_ACTION_UTILITY,False,1.0017251596174455,0.09311648186130907,True,22.329635849593156
CALIBRATION,calibration,2026082401,S1,40,middle,939,5671.549626502615,898.0,0.002295903125259297,0.03463207323244933,gap_939_vs_898,LEADER_CHALLENGER_GAP,False,1.0006466937804996,0.1729037559655452,True,15.084292038035366
CALIBRATION,calibration,2026082401,S1,40,middle,901,6269.833360074205,,0.0011455492218681294,0.025082710938173075,utility_action_901,TOP_ACTION_UTILITY,False,1.0016063446176677,0.09070719847352886,False,21.89579501199337
CALIBRATION,calibration,2026082401,S1,40,middle,939,5847.8136800184975,901.0,0.002249284154893407,0.03555560735483874,gap_939_vs_901,LEADER_CHALLENGER_GAP,False,1.0012995624938799,0.17200500624133436,True,15.80752137407188
CALIBRATION,calibration,2026082401,S1,40,middle,939,5273.93480514655,,0.002005609521473306,0.060638318293011806,utility_action_939,TOP_ACTION_UTILITY,True,1.000686558035307,0.14565109740825166,True,30.23435900347508
CALIBRATION,calibration,2026082401,S1,40,middle,940,6389.133825346865,,0.001769303817040341,0.057762646184174975,utility_action_940,TOP_ACTION_UTILITY,True,1.0009333628354358,0.14142409454005614,True,32.647104260928614
CALIBRATION,calibration,2026082401,S1,40,middle,939,5705.141292408967,940.0,0.002588158771524295,0.00287567210883684,gap_939_vs_940,LEADER_CHALLENGER_GAP,True,1.000624974699456,0.19548980663287488,True,1.1110879828841467
CALIBRATION,calibration,2026082401,S1,40,late,658,4822.50347932174,,0.0010455860998567373,0.015681272240891057,utility_action_658,TOP_ACTION_UTILITY,False,1.001448730063415,0.07260993966372445,True,14.997590579139922
CALIBRATION,calibration,2026082401,S1,40,late,660,4460.348173403671,658.0,0.0024467309404549824,0.045800315323451975,gap_660_vs_658,LEADER_CHALLENGER_GAP,False,1.0011544642911894,0.16340697651265676,True,18.718983181262736
CALIBRATION,calibration,2026082401,S1,40,late,660,4625.077629882828,,0.002154259893283271,0.06148158756434303,utility_action_660,TOP_ACTION_UTILITY,True,1.0011131121917038,0.1465067415638154,True,28.53954054291935
CALIBRATION,calibration,2026082401,S1,40,late,661,6566.400027661761,,0.000757205767723717,0.012824775920344166,utility_action_661,TOP_ACTION_UTILITY,False,1.0016221513683945,0.0613589023158004,False,16.936976007060164
CALIBRATION,calibration,2026082401,S1,40,late,660,4712.455958552645,661.0,0.0022860067835153513,0.04865681164399887,gap_660_vs_661,LEADER_CHALLENGER_GAP,False,1.0015326621129825,0.1569282627565879,True,21.284631347058347
CALIBRATION,calibration,2026082401,S1,40,late,698,5916.096321770279,,0.001237435193569934,0.027050796883226976,utility_action_698,TOP_ACTION_UTILITY,True,1.0015317196165798,0.09517876858800278,True,21.860374606921336
CALIBRATION,calibration,2026082401,S1,40,late,660,5094.346722043324,698.0,0.002437015186707968,0.034430790681116055,gap_660_vs_698,LEADER_CHALLENGER_GAP,True,1.000832394807349,0.1739412094423308,True,14.128262666933459
CALIBRATION,calibration,2026082401,S1,40,late,699,5558.01203934507,,0.00038823490356077465,0.019540496409078414,utility_action_699,TOP_ACTION_UTILITY,False,1.001821264085858,0.028943718045060303,True,50.33163229235397
CALIBRATION,calibration,2026082401,S1,40,late,660,4817.819888910312,699.0,0.002148120701676998,0.04194109115526462,gap_660_vs_699,LEADER_CHALLENGER_GAP,False,1.0012061034917794,0.14910216877121432,True,19.524550516422092
