support_count,factor_count,state,record_kind,epsilon,stage,active_factor_count,active_factor_fraction,active_leader,worst_challenger,active_ei_gap,b_struct,max_psi,shadow_full_leader,shadow_full_action_agreement,shadow_full_laplace_ei_regret,cumulative_factor_energy_gradient_calls,cumulative_factor_energy_gradient_work,cumulative_factor_hessian_calls,cumulative_factor_hessian_work,stage_fit_conditioning_seconds,load_solve_seconds,load_solve_iterations,load_solve_relative_residual,cumulative_conditioning_seconds,activated_factor_count_after_stage,certified,full_bank_fallback,peak_rss_bytes,pair_solve_seconds,pair_solve_iterations,pair_solve_relative_residual
1000,499361,seed_0_after_6_queries,stage,0.02,3,473339,0.9478894026565952,134,53,-3.5676257740791968e-06,0.13982673257159373,0.13982316494581964,134,True,0.0,161,76114273,3,1418722,0.30130141600966454,0.0007580420933663845,17,7.492299894326384e-12,1.5894971669185907,929,False,False,316276736,0.0006824592128396034,17,7.082188073845388e-12
1000,499361,seed_0_after_6_queries,stage,0.02,4,474268,0.94974978021912,134,172,-3.8078578945822957e-06,0.1332098940264493,0.13320608616855473,134,True,0.0,195,92239385,4,1892990,0.32901004096493125,0.0007444578222930431,17,7.678608575052933e-12,1.926251291995868,540,False,False,316276736,0.0006880001164972782,17,7.533866745760975e-12
1000,499361,seed_0_after_6_queries,stage,0.02,5,474808,0.9508311622253239,134,154,-3.375404771826436e-06,0.13032726037492245,0.13032388497015063,134,True,0.0,245,115979785,5,2367798,0.4668705831281841,0.0007638330571353436,17,7.607956095595625e-12,2.400772500084713,399,False,False,316276736,0.0006981659680604935,17,7.3577549330258e-12
1000,499361,seed_0_after_6_queries,stage,0.02,6,475207,0.9516301833743525,134,173,-4.129624222117295e-06,0.10508371484479535,0.10507958522057323,134,True,0.0,282,133562444,6,2843005,0.349231667118147,0.0007392498664557934,17,7.67134455841389e-12,2.757920332951471,175,False,False,316276736,0.0007983751129359007,17,7.30843507361033e-12
1000,499361,seed_0_after_6_queries,stage,0.02,7,475382,0.9519806312467334,134,127,-3.419123814696511e-06,0.06683110764958089,0.06682768852576619,134,True,0.0,318,150676196,7,3318387,0.33835745812393725,0.0007437500171363354,17,7.65278430529423e-12,3.1036192500032485,530,False,False,316276736,0.0006980001926422119,17,6.692520140909748e-12
1000,499361,seed_0_after_6_queries,stage,0.02,8,475912,0.9530419876602297,134,186,-4.0054469224693795e-06,0.05935929063505169,0.059355285188129214,134,True,0.0,351,166381292,8,3794299,0.3140952088870108,0.0008044589776545763,17,7.502013598825175e-12,3.425727792084217,0,False,False,316276736,,,
1000,499361,seed_0_after_6_queries,fallback,0.02,8,499361,1.0,134,,,0.0,,134,True,0.0,386,183858927,9,4293660,0.3546942910179496,0.0,0,0.0,3.7808241669554263,0,False,True,316276736,,,
1000,499361,seed_0_after_12_queries,stage,0.02,0,0,0.0,133,78,-7.198578147981168e-06,1.9591885552245891,1.9591813566464409,133,True,0.0,0,0,0,0,0.0,0.0007558329962193966,17,5.74691848605696e-12,0.0009128330275416374,467413,False,False,316276736,0.0007165409624576569,17,8.827130215614489e-12
1000,499361,seed_0_after_12_queries,stage,0.02,1,467413,0.9360222364181424,133,51,-1.1768382310152896e-06,0.22286409265742785,0.22286291581919684,133,True,0.0,74,34588562,1,467413,0.6942165829241276,0.0007955420296639204,17,6.987451165655454e-12,0.7507547079585493,400,False,False,316276736,0.0006758340168744326,17,9.856252754426643e-12
1000,499361,seed_0_after_12_queries,stage,0.02,2,467813,0.9368232601264416,133,30,-1.3173926603137973e-06,0.15625942580428392,0.1562581084116236,133,True,0.0,108,50494204,2,935226,0.3193734160158783,0.0007802499458193779,17,7.026956076154475e-12,1.0785023749340326,550,False,False,316276736,0.0006868748459964991,17,9.24671300927944e-12
