x,ei,log_ei,second_improvement_moment,chi_square,ess_fraction,smooth_acquisition,smooth_second_moment
-0.6399999999999999,0.023534088547743054,-3.749305332402095,0.001327904881882041,1.3975749984417618,0.41708809970487787,0.024991048878935586,0.0013501538157256322
-0.6299999999999999,0.02277971106232774,-3.7818850048746326,0.0012719293018444969,1.4511311547628511,0.40797490499717903,0.024249376182001535,0.0012941500664401338
-0.6199999999999999,0.02197925215592699,-3.817656354428662,0.0012134125118087717,1.51178605982484,0.39812307902916505,0.023461431441549815,0.0012355827988319884
-0.6099999999999999,0.021137468136825942,-3.8567080721825393,0.0011528513483919558,1.580283231137546,0.38755435369749663,0.022631630089724384,0.0011749443684234175
-0.5999999999999999,0.02025942127257388,-3.8991353455955564,0.0010907503489622618,1.6574878656841077,0.37629522712517577,0.021764665594472186,0.0011127347389094818
-0.5900000000000001,0.01935044982222367,-3.9450396131499987,0.0010276154091024392,1.7444067426104946,0.364377475274964,0.020865482554199146,0.0010494552328265414
-0.5800000000000001,0.018416131892627693,-3.9945282651783596,0.0009639473936070947,1.8422122055452212,0.3518386129117935,0.01993924490044146,0.0009856022493254974
-0.5700000000000001,0.017462242762798234,-4.047714285342304,0.0009002358025618223,1.9522711177415135,0.338722278584292,0.01899129896849012,0.0009216610493428079
-0.56,0.016494705511189825,-4.104715827677706,0.0008369526009224042,2.0761799048481375,0.3250785165145818,0.018027131335879673,0.000858099714369773
-0.55,0.015519535020914093,-4.165655724668523,0.0007745463250268688,2.2158070809740877,0.3109639275055934,0.017052321501897734,0.0007953633889989731
-0.54,0.01454277572394675,-4.23066092248653,0.0007134365820079369,2.3733450112398375,0.29644166151640106,0.016072489685261402,0.000733868918913327
-0.53,0.013570433769620548,-4.299861840309427,0.000654009057504275,2.551373121217866,0.28158122671635016,0.015093240246626245,0.0006739999944319366
-0.52,0.012608404652649783,-4.373391651469701,0.0005966111428216676,2.7529353511364834,0.26645809384837255,0.01412010148949915,0.0006161029046543136
-0.51,0.01166239769427599,-4.4513854850421355,0.0005415482843013422,2.981635411347135,0.2511530807542378,0.013158462846290664,0.0005604829982801361
-0.5,0.010737859115101183,-4.533979547285638,0.0004890811448124176,3.241754380398456,0.23575150994623678,0.012213510701809878,0.0005074019341216912
-0.49,0.009839895744577408,-4.621310163037375,0.0004394236499274479,3.538396472814844,0.22034214198561883,0.011290164328458679,0.0004570757871826814
-0.48,0.008973201652918077,-4.713512737619052,0.00039274196967435475,3.877670492481344,0.2050158987864072,0.010393013588467243,0.00040967405521972116
-0.47,0.008141990139702588,-4.810720639943279,0.00034915446131224417,4.266916720272592,0.18986440323822787,0.009526260181475562,0.0003653195864828122
-0.45999999999999996,0.007349933545945824,-4.91306400716618,0.00030873257021141285,4.714991957362884,0.17497837397857657,0.008693664264858032,0.00032408942268587584
-0.44999999999999996,0.006600113254936185,-5.02066847025817,0.0002715026558016856,5.232629434295153,0.1604459258394992,0.007898498236777508,0.00028601652328827094
-0.43999999999999995,0.005894982002195764,-5.133653798060099,0.0002374486791248291,5.832895692223443,0.14635083645987831,0.007143509340143185,0.00025109230918642246
-0.42999999999999994,0.0052363402275871235,-5.252132454514725,0.00020651565940229278,6.531773909721804,0.13277084681328893,0.006430892517617916,0.000219269937368487
-0.41999999999999993,0.0046253276859487425,-5.376208059511619,0.00017861378089159758,7.34891330410027,0.11977606708514817,0.005762274628813227,0.00019046819445519563
-0.4099999999999999,0.004062430911879739,-5.505973737777416,0.00015362300976779245,8.30859838234191,0.10742755879305799,0.0051387107434630215,0.00016457587773477777
-0.3999999999999999,0.0035475064455651414,-5.6415103320000455,0.00013139806523462794,9.441011740160954,0.0957761589476562,0.004560692768359025,0.000141456518494872
-0.3899999999999999,0.003079819014403983,-5.78288444528033,0.00011177358060238373,10.783892492367901,0.08486160244992665,0.004028170176759332,0.00012095329504212613
-0.3799999999999999,0.0026580931789276173,-5.930146263275578,9.456928926832885e-05,12.384733336120851,0.0747119852811217,0.0035405821165190505,0.00010289398226123256
-0.3699999999999999,0.002280576340464241,-6.083327087054129,7.959507747566979e-05,14.303718932167143,0.06534359422258358,0.0030968997086923025,8.709579092265352e-05
-0.3599999999999999,0.0019451105168869127,-6.242436482504432,6.665575992996045e-05,16.617696335284307,0.05676111002079333,0.002695676942124376,7.336996275422967e-05
-0.34999999999999987,0.0016492099569791396,-6.407458919689689,5.5555454820736614e-05,19.425599452452804,0.04895817145185011,0.002335108248112439,6.152600565832295e-05
-0.33999999999999986,0.001390141505949039,-6.578349734180059,4.61014600971051e-05,22.855946902874866,0.04191826901993526,0.002013090622841792,5.137547612873047e-05
-0.33000000000000007,0.001165004661735508,-6.755030190482772,3.8107561238334364e-05,27.07733151550908,0.03561592024682366,0.0017272880661911064,4.273524138856311e-05
-0.32000000000000006,0.0009708084655707624,-6.937381363949228,3.139673035327936e-05,32.31327374590055,0.030018064499681824,0.0014751961267039765,3.5430180394093995e-05
-0.31000000000000005,0.0008045427278802673,-7.125236481841786,2.580320536330948e-05,38.86350042105313,0.025085604360821998,0.0012542044778803341,2.9295309006919373e-05
-0.30000000000000004,0.0006632415673999648,-7.318371279086858,2.1173964577842386e-05,47.13474863925931,0.020775012403085186,0.001061655685909946,2.4177338850958197e-05
-0.29000000000000004,0.0005440377950371096,-7.516491837350531,1.7369634776161897e-05,57.685734335220346,0.017039916281661797,0.0008948986422972397,1.9935700422518546e-05
-0.28,0.00044420725904818515,-7.719219304791041,1.4264888984026296e-05,71.29314084015844,0.013832570951800526,0.0007513355008030775,1.6443078027333314e-05
-0.27,0.0003612028406128563,-7.926070872075689,1.1748402947577874e-05,89.04850757430786,0.01110512574763998,0.0006284613491533048,1.3585516570322433e-05
-0.26,0.0002926783104636796,-8.136436468605261,9.722446774111152e-06,112.49964302616489,0.008810600397830957,0.0005238962350935178,1.1262167990362147e-05
-0.25,0.00023650269810728528,-8.349550941609898,8.102190641490382e-06,143.85392197119174,0.0069035065560660355,0.00043540952958267377,9.384748423542743e-06
-0.24,0.00019076616593607205,-8.564462142053523,6.81480150579303e-06,186.26236684662334,0.0053401012538683065,0.00036093692785272305,7.87677648337705e-06
-0.22999999999999998,0.00015377861257481957,-8.779996570544133,5.79840220908192e-06,244.1977386459795,0.004078341038225545,0.0002985906481008273,6.6726590536038524e-06
-0.21999999999999997,0.000124062354552521,-8.994726259456078,5.000956267788002e-06,323.9174365440898,0.0030777049414037975,0.00024666358024318964,5.716684500018188e-06
-0.20999999999999996,0.00010034026255986626,-9.206943522209714,4.3791318822334604e-06,433.9482205546179,0.002299124246846819,0.0002036282618443165,4.961975053755502e-06
-0.19999999999999996,8.15206738719627e-05,-9.41465390274488,3.8971882548586785e-06,585.4295727681579,0.0017052346035000272,0.00016813161854562818,4.369441090203488e-06
-0.18999999999999995,6.668028519206555e-05,-9.61560122306525,3.5259169136365624e-06,792.0072847809878,0.0012610224637169371,0.00013898640952618598,3.906770820280109e-06
-0.17999999999999994,5.5046070497257135e-05,-9.807340077956251,3.241661015654829e-06,1068.8304484852738,0.0009347275555821545,0.00011516027487157249,3.5474800885878994e-06
-0.16999999999999993,4.597708578816289e-05,-9.987367420625592,3.0254269811532065e-06,1430.2114259003108,0.000698708787467194,9.576320268743025e-05,3.270038953332793e-06
-0.15999999999999992,3.894683386116027e-05,-10.153313076213117,2.862095533485526e-06,1885.860574050438,0.0005299808654400708,8.003413101960065e-05,3.0570847765391803e-06
-0.1499999999999999,3.352668085948846e-05,-10.30316899255931,2.739733395277174e-06,2436.4021094174072,0.000410272886913609,6.73272839900266e-05,2.8947258169757676e-06
-0.1399999999999999,2.937065219646136e-05,-10.435514606787791,2.6490024916042146e-06,3069.825836376607,0.0003256452997607773,5.7098722412902015e-05,2.7719348172343106e-06
-0.1299999999999999,2.620179458882434e-05,-10.549682653786297,2.5826604232157837e-06,3760.8825490992476,0.0002658243544151696,4.8893474037699496e-05,2.6800287493815407e-06
-0.11999999999999988,2.3800176246639193e-05,-10.64581757199329,2.5351440250070562e-06,4474.507517678273,0.0002234383466120872,4.233350298531169e-05,2.612228609962496e-06
-0.10999999999999988,2.1992508955677173e-05,-10.724808664604605,2.5022268169334763e-06,5172.412632665622,0.00019329600613835935,3.7106685470737226e-05,2.5632917796464026e-06
-0.09999999999999987,2.064331213693798e-05,-10.788119158474256,2.4807408809825517e-06,5820.335704459086,0.00017178188147335497,3.2956881387252815e-05,2.5292088165325297e-06
-0.08999999999999986,1.9647496996226485e-05,-10.837560607089335,2.4683539654092687e-06,6393.299529589106,0.00015638929571137238,2.967512919304689e-05,2.506956468675936e-06
-0.08000000000000007,1.8924224950512204e-05,-10.875067713217184,2.4633932560927544e-06,6877.560231495187,0.00014537926053496676,2.709194414937498e-05,2.494299018344429e-06
