round,batch_id,chunk_index,proposals_generated,proposals_consumed,accepted_candidates,accepted_retained,cumulative_proposals_generated,cumulative_proposals_consumed,cumulative_accepted_retained
5,cert-r05-7b1f78d701ef1cfec013,120,25000,25000,8303,8303,3025000,3025000,1011438
5,cert-r05-7b1f78d701ef1cfec013,121,25000,25000,8435,8435,3050000,3050000,1019873
5,cert-r05-7b1f78d701ef1cfec013,122,25000,25000,8427,8427,3075000,3075000,1028300
5,cert-r05-7b1f78d701ef1cfec013,123,25000,25000,8371,8371,3100000,3100000,1036671
5,cert-r05-7b1f78d701ef1cfec013,124,25000,25000,8279,8279,3125000,3125000,1044950
5,cert-r05-7b1f78d701ef1cfec013,125,25000,25000,8270,8270,3150000,3150000,1053220
5,cert-r05-7b1f78d701ef1cfec013,126,25000,25000,8288,8288,3175000,3175000,1061508
5,cert-r05-7b1f78d701ef1cfec013,127,25000,25000,8334,8334,3200000,3200000,1069842
5,cert-r05-7b1f78d701ef1cfec013,128,25000,25000,8509,8509,3225000,3225000,1078351
5,cert-r05-7b1f78d701ef1cfec013,129,25000,25000,8390,8390,3250000,3250000,1086741
5,cert-r05-7b1f78d701ef1cfec013,130,25000,25000,8267,8267,3275000,3275000,1095008
5,cert-r05-7b1f78d701ef1cfec013,131,25000,25000,8247,8247,3300000,3300000,1103255
5,cert-r05-7b1f78d701ef1cfec013,132,25000,25000,8321,8321,3325000,3325000,1111576
5,cert-r05-7b1f78d701ef1cfec013,133,25000,25000,8280,8280,3350000,3350000,1119856
5,cert-r05-7b1f78d701ef1cfec013,134,25000,25000,8309,8309,3375000,3375000,1128165
5,cert-r05-7b1f78d701ef1cfec013,135,25000,25000,8287,8287,3400000,3400000,1136452
5,cert-r05-7b1f78d701ef1cfec013,136,25000,25000,8249,8249,3425000,3425000,1144701
5,cert-r05-7b1f78d701ef1cfec013,137,25000,25000,8140,8140,3450000,3450000,1152841
5,cert-r05-7b1f78d701ef1cfec013,138,25000,25000,8404,8404,3475000,3475000,1161245
5,cert-r05-7b1f78d701ef1cfec013,139,25000,25000,8467,8467,3500000,3500000,1169712
5,cert-r05-7b1f78d701ef1cfec013,140,25000,25000,8445,8445,3525000,3525000,1178157
5,cert-r05-7b1f78d701ef1cfec013,141,25000,25000,8327,8327,3550000,3550000,1186484
5,cert-r05-7b1f78d701ef1cfec013,142,25000,25000,8363,8363,3575000,3575000,1194847
5,cert-r05-7b1f78d701ef1cfec013,143,25000,25000,8286,8286,3600000,3600000,1203133
5,cert-r05-7b1f78d701ef1cfec013,144,25000,25000,8458,8458,3625000,3625000,1211591
5,cert-r05-7b1f78d701ef1cfec013,145,25000,25000,8422,8422,3650000,3650000,1220013
5,cert-r05-7b1f78d701ef1cfec013,146,25000,25000,8333,8333,3675000,3675000,1228346
5,cert-r05-7b1f78d701ef1cfec013,147,25000,25000,8388,8388,3700000,3700000,1236734
5,cert-r05-7b1f78d701ef1cfec013,148,25000,25000,8411,8411,3725000,3725000,1245145
5,cert-r05-7b1f78d701ef1cfec013,149,25000,25000,8347,8347,3750000,3750000,1253492
5,cert-r05-7b1f78d701ef1cfec013,150,25000,25000,8416,8416,3775000,3775000,1261908
5,cert-r05-7b1f78d701ef1cfec013,151,25000,25000,8369,8369,3800000,3800000,1270277
5,cert-r05-7b1f78d701ef1cfec013,152,25000,25000,8329,8329,3825000,3825000,1278606
5,cert-r05-7b1f78d701ef1cfec013,153,25000,25000,8346,8346,3850000,3850000,1286952
5,cert-r05-7b1f78d701ef1cfec013,154,25000,25000,8327,8327,3875000,3875000,1295279
5,cert-r05-7b1f78d701ef1cfec013,155,25000,25000,8409,8409,3900000,3900000,1303688
5,cert-r05-7b1f78d701ef1cfec013,156,25000,25000,8308,8308,3925000,3925000,1311996
5,cert-r05-7b1f78d701ef1cfec013,157,25000,25000,8471,8471,3950000,3950000,1320467
5,cert-r05-7b1f78d701ef1cfec013,158,25000,25000,8372,8372,3975000,3975000,1328839
5,cert-r05-7b1f78d701ef1cfec013,159,25000,25000,8464,8464,4000000,4000000,1337303
5,cert-r05-7b1f78d701ef1cfec013,160,25000,25000,8333,8333,4025000,4025000,1345636
5,cert-r05-7b1f78d701ef1cfec013,161,25000,25000,8361,8361,4050000,4050000,1353997
5,cert-r05-7b1f78d701ef1cfec013,162,25000,25000,8340,8340,4075000,4075000,1362337
5,cert-r05-7b1f78d701ef1cfec013,163,25000,25000,8332,8332,4100000,4100000,1370669
