action_index,action,is_leader,is_maximizer,active_acquisition,estimated_gap,lambda_q,b_infer,b_struct,psi
139,-0.3993,False,False,0.20519811909168337,-0.11398146462669087,1.0921512486886427,0.017192896716289065,0.15259727343917417,0.05580870552877237
140,-0.39799999999999996,False,False,0.2056368058953339,-0.11354277782304034,1.090575706971544,0.017168094175389344,0.1513119421451826,0.05493725849753159
141,-0.39669999999999994,False,False,0.20607543379235546,-0.11310414992601878,1.0894598989569744,0.01715052886841127,0.150039954495791,0.05408633343818349
142,-0.3954,False,False,0.2065140145520962,-0.11266556916627804,1.0888054372778389,0.017140226181793772,0.14878117291157553,0.053255829927091256
143,-0.3941,False,False,0.20695255862065629,-0.11222702509771795,1.0886135604924319,0.017137205613207036,0.14753546124149272,0.0524456417569818
144,-0.3928,False,False,0.20739107457772826,-0.11178850914064598,1.0888851269581625,0.017141480675111256,0.14630268474815367,0.05165565628261895
145,-0.39149999999999996,False,False,0.20782956910567413,-0.11135001461270011,1.0896206111915727,0.01715305883745522,0.1450827100932514,0.050885754318006515
146,-0.3902,False,False,0.20826804760640305,-0.11091153611197119,1.0908201027607705,0.01717194151024073,0.14387540532313786,0.05013581072140741
147,-0.38889999999999997,False,False,0.20870651566952653,-0.11047306804884771,1.092483307721758,0.01719812406613362,0.14268063985455176,0.04940569587183767
148,-0.38759999999999994,False,False,0.2091449816811836,-0.11003460203719065,1.0946095525752466,0.01723159590275283,0.14149828446049562,0.0486952783260578
149,-0.3863,False,False,0.20958346095540947,-0.10959612276296476,1.0971977906862824,0.017272340543729645,0.14032821125625738,0.04800442903702226
150,-0.385,False,False,0.21002198182573142,-0.10915760189264281,1.1002466110761804,0.01732033577711236,0.13917029368557843,0.04733302757004798
151,-0.38369999999999993,False,False,0.21046059403417167,-0.10871898968420257,1.1037542494656238,0.017375553829209266,0.1380244065069654,0.046680970651972103
152,-0.38239999999999996,False,False,0.21089937920516955,-0.10828020451320469,1.1077186014200793,0.017437961571526835,0.1368904257801441,0.046048182838466234
153,-0.3811,False,False,0.21133846150122082,-0.10784112221715342,1.112137237424399,0.017507520758077565,0.13576822885265377,0.045434627393577925
154,-0.37979999999999997,False,False,0.2117780118874565,-0.10740157183091772,1.117007419693186,0.01758418829001263,0.13465769434658031,0.044840310805675215
155,-0.37849999999999995,False,False,0.21221822447624855,-0.10696135924212569,1.122326120507416,0.017667916504281206,0.13355870214542906,0.04426525940758458
